			Mon Jun 29 12:18:14 BST 2015

Product ID	Product Name	Product Quantity	Reorder? (y/n) 
1		Hippy Gnome		2			 y 
2		King Gnome		4			 y 
3		Queen Gnome		6			 y 
4		Nuclear Gnome		8			 y 
5		Biohazard Gnome		10			 y 
6		Obama Gnome		12			 y 
7		Redneck Gnome		14			 y 
8		Business Gnome		16			 y 
9		Chav Gnome		18			 y 
10		Beiber Gnome		20			 y 
11		Potter Gnome		22			 y 
12		Wolverine Gnome		24			 y 
13		Iron Man Gnome		26			 y 
14		Voldemort Gnome		28			 y 
15		Jedi Gnome		30			 y 
16		Sith Gnome		32			 y 
17		Picard Gnome		34			 y 
18		Angel Gnome		36			 y 
19		Gun Gnome		38			 y 
20		Big Gun Gnome		40			 y 
21		Bazooka Gnome		42			 y 
22		Tank Gnome		44			 y 
23		Police Gnome		46			 y 
24		French Gnome		48			 y 
25		Australian Gnome	50			 y 
26		Insane Gnome		250			 n 
27		Demon Gnome		250			 n 
28		Samurai Gnome		250			 n 
29		Time Lord Gnome		250			 n 
30		Chewbacca Gnome		250			 n 
31		Roman Gnome		250			 n 
32		Greek Gnome		250			 n 
33		Other Gnome		250			 n 
34		Lukasz Gnome		35			 y 
35		Ron Weasley Gnome	250			 n 
